OID_,cat_ID_txt,O1Region,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,region,cat_ID,cat_ID_con
411,75004400009792, 1,63828583.962632909417152,26.330251285282984,Cook_Inlet,75004400009792,Cook_Inlet_75004400009792
412,75004400010175, 1,98778742.331867083907127,23.104168660768028,Cook_Inlet,75004400010175,Cook_Inlet_75004400010175
413,75004400010221, 1,42656487.073157146573067,21.517063813163517,Cook_Inlet,75004400010221,Cook_Inlet_75004400010221
414,75004400010270, 1,19828291.300101257860661,20.251889971663740,Cook_Inlet,75004400010270,Cook_Inlet_75004400010270
415,75004400010328, 1,191995011.451007783412933,11.386312366347425,Cook_Inlet,75004400010328,Cook_Inlet_75004400010328
416,75004400010352, 1,153956.069064366834937,0.287467184962865,Cook_Inlet,75004400010352,Cook_Inlet_75004400010352
417,75004400010386, 1,528443895.491664588451385,9.659847213438418,Cook_Inlet,75004400010386,Cook_Inlet_75004400010386
418,75004400010754, 1,1224936.418861838523299,0.747327354671561,Cook_Inlet,75004400010754,Cook_Inlet_75004400010754
419,75004400011230, 1,21204673.862538468092680,24.004892587563624,Cook_Inlet,75004400011230,Cook_Inlet_75004400011230
420,75004400011320, 1,7817873.965475636534393,5.617412655747410,Cook_Inlet,75004400011320,Cook_Inlet_75004400011320
421,75004400011322, 1,3462838.873954100999981,6.237039920374541,Cook_Inlet,75004400011322,Cook_Inlet_75004400011322
422,75004400011676, 1,50872836.464504323899746,36.018309396622406,Cook_Inlet,75004400011676,Cook_Inlet_75004400011676
423,75004400011755, 1,47695107.593130461871624,45.169970713358445,Cook_Inlet,75004400011755,Cook_Inlet_75004400011755
424,75005300000003, 1,12528622.499024774879217,8.967988154387948,Cook_Inlet,75005300000003,Cook_Inlet_75005300000003
425,75005300000447, 1,237407652.205868721008301,19.711422307795104,Cook_Inlet,75005300000447,Cook_Inlet_75005300000447
426,75005300000657, 1,21900584.599890783429146,42.764222204027739,Cook_Inlet,75005300000657,Cook_Inlet_75005300000657
427,75005300001645, 1,355762352.792432546615601,42.286345745240936,Cook_Inlet,75005300001645,Cook_Inlet_75005300001645
428,75005300002502, 1,667257192.649919748306274,22.070163391398186,Cook_Inlet,75005300002502,Cook_Inlet_75005300002502
429,75005300002504, 1,34637709.467129074037075,18.803394469505864,Cook_Inlet,75005300002504,Cook_Inlet_75005300002504
430,75005300002575, 1,752446346.009747862815857,37.090630067550073,Cook_Inlet,75005300002575,Cook_Inlet_75005300002575
431,75005300003320, 1,13374661.138146223500371,3.617887835018596,Cook_Inlet,75005300003320,Cook_Inlet_75005300003320
432,75005300003369, 1,629606044.295307636260986,36.955457916269410,Cook_Inlet,75005300003369,Cook_Inlet_75005300003369
433,75005300003743, 1,629606044.295307159423828,26.664836673128001,Cook_Inlet,75005300003743,Cook_Inlet_75005300003743
434,75005300004398, 1,131893800.581316590309143,35.148318266055270,Cook_Inlet,75005300004398,Cook_Inlet_75005300004398
435,75005300004529, 1,304605590.770471334457397,56.629994469385835,Cook_Inlet,75005300004529,Cook_Inlet_75005300004529
436,75005300004937, 1,615214511.247519612312317,21.917355187314886,Cook_Inlet,75005300004937,Cook_Inlet_75005300004937
437,75005300005137, 1,27615308.203636836260557,37.210576211523602,Cook_Inlet,75005300005137,Cook_Inlet_75005300005137
438,75005300005769, 1,374376908.869644522666931,34.037355655809797,Cook_Inlet,75005300005769,Cook_Inlet_75005300005769
439,75005300006785, 1,73531.628895142566762,0.085533247864816,Cook_Inlet,75005300006785,Cook_Inlet_75005300006785
440,75005300007548, 1,629606044.295307278633118,28.738514943574277,Cook_Inlet,75005300007548,Cook_Inlet_75005300007548
441,75005300008746, 1,3837661.262608266901225,3.348265417792434,Cook_Inlet,75005300008746,Cook_Inlet_75005300008746
442,75005300009788, 1,360733303.592539072036743,42.617539031048210,Cook_Inlet,75005300009788,Cook_Inlet_75005300009788
443,75005300010442, 1,1062628205.709588408470154,24.598333075176960,Cook_Inlet,75005300010442,Cook_Inlet_75005300010442
