OID_,cat_ID_txt,wtd_slope_ZONE_CODE,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,region,cat_ID_con
156,75000200017518,156,447546.000000000000000,44754600.000000000000000,0.000014162594198,72.319335937500000,72.319321774905802,27.204659262799467,13.540084510517373,12175336.434428850188851,27.927447319030762,44.535760879516602,Cook_Inlet,Cook_Inlet_75000200017518
157,75000200018332,157,15678419.000000000000000,1567841900.000000000000000,0.000000064215001,47.957199096679688,47.957199032464686,2.585924691325353,3.703449090596890,40543210.813044548034668,1.888949275016785,6.188250541687012,Cook_Inlet,Cook_Inlet_75000200018332
158,75000200015469,158,436110.000000000000000,43611000.000000000000000,0.000004425939096,46.458667755126953,46.458663329187857,5.698331383549100,6.476225193682099,2485099.299679597839713,3.369610071182251,15.291231918334962,Cook_Inlet,Cook_Inlet_75000200015469
159,75000200010540,159,1742040.000000000000000,174204000.000000000000000,0.000002401483243,46.071571350097656,46.071568948614413,3.385843924009022,4.290846247249838,5898275.549380676820874,2.776311516761780,8.043859672546386,Cook_Inlet,Cook_Inlet_75000200010540
160,75000200018806,160,9122745.000000000000000,912274500.000000000000000,0.000000873706938,79.239501953125000,79.239501079418062,21.810546934689430,14.288534816486665,198972057.995703339576721,20.841951370239258,40.654907226562500,Cook_Inlet,Cook_Inlet_75000200018806
161,75000200003094,161,8645520.000000000000000,864552000.000000000000000,0.000000236859762,47.957199096679688,47.957198859819925,3.179122789815790,4.240994090258496,27485169.661808211356401,2.419559478759766,8.044808387756348,Cook_Inlet,Cook_Inlet_75000200003094
162,75000200014914,162,1160753.000000000000000,116075300.000000000000000,0.000013334628420,77.002952575683594,77.002939241055174,27.590461611489992,13.378046457022885,32025711.086921844631433,28.326688766479492,44.776540374755861,Cook_Inlet,Cook_Inlet_75000200014914
163,75000200007639,163,1143712.000000000000000,114371200.000000000000000,0.000004397025350,40.911182403564453,40.911178006539103,5.414968205295790,5.024481660631809,6193164.116015259176493,4.043211936950684,11.999374198913575,Cook_Inlet,Cook_Inlet_75000200007639
164,75000200013266,164,9098317.000000000000000,909831700.000000000000000,0.000000236859762,47.957199096679688,47.957198859819925,3.069033711594937,4.189061004209637,27923041.591777313500643,2.419051647186279,7.557433605194092,Cook_Inlet,Cook_Inlet_75000200013266
165,75000200010391,165,132877.000000000000000,13287700.000000000000000,0.000005685364158,31.004051208496094,31.004045523131936,2.717411815683113,3.131851693187997,361081.529832525004167,2.419491767883301,6.365467739105225,Cook_Inlet,Cook_Inlet_75000200010391
166,75000200015860,166,426460.000000000000000,42646000.000000000000000,0.000000612700262,29.027349472045898,29.027348859345636,0.921585878947077,2.039960509374497,393019.513935770606622,0.000001700942278,2.872126579284668,Cook_Inlet,Cook_Inlet_75000200015860
167,75000200005503,167,727692.000000000000000,72769200.000000000000000,0.000000503931460,34.327331542968750,34.327331039037290,2.852835059119687,3.076148883110741,2075985.249840923119336,2.442795753479004,6.368229389190674,Cook_Inlet,Cook_Inlet_75000200005503
168,75000200000213,168,699122.000000000000000,69912200.000000000000000,0.000005516862075,40.911182403564453,40.911176886702378,5.609670917295722,4.970804051160484,3921844.351041619200259,4.100657463073730,12.017256069183350,Cook_Inlet,Cook_Inlet_75000200000213
169,75000200015782,169,306506.000000000000000,30650600.000000000000000,0.000000529737008,32.958683013916016,32.958682484179008,1.534709358468918,2.787590318573893,470397.626626874029171,0.000001680430159,4.046190738677979,Cook_Inlet,Cook_Inlet_75000200015782
170,75000200011141,170,1654637.000000000000000,165463700.000000000000000,0.000000835998605,52.873054504394531,52.873053668395926,4.854780163933641,4.957699343811873,8032898.886110667139292,3.434606552124023,11.057151031494142,Cook_Inlet,Cook_Inlet_75000200011141
171,75000200008051,171,31954.000000000000000,3195400.000000000000000,0.000002484019888,19.425544738769531,19.425542254749644,1.164437711561717,1.797786462467784,37208.442635243118275,0.000003108892656,3.369631075859070,Cook_Inlet,Cook_Inlet_75000200008051
172,75000200013319,172,3635571.000000000000000,363557100.000000000000000,0.000000064215001,34.965175628662109,34.965175564447108,1.294362105047175,2.164664001518501,4705745.332608464173973,0.000002896997785,3.435265064239502,Cook_Inlet,Cook_Inlet_75000200013319
173,75000200007852,173,728503.000000000000000,72850300.000000000000000,0.000005348365903,40.911182403564453,40.911177055198550,5.661929756042003,4.987257906975122,4124732.813065867405385,4.100978851318359,12.200815010070801,Cook_Inlet,Cook_Inlet_75000200007852
