OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con
125,75000200015680,125,948.000000000000000,94800.000000000000000,70,76,6,71.954641350210977,1.449228507860250,68213.000000000000000,7,71,76,72,74,Cook_Inlet,Cook_Inlet_75000200015680
126,75000200000416,126,741.000000000000000,74100.000000000000000,75,77,2,76.325236167341387,0.565086409346353,56557.000000000000000,3,76,75,76,77,Cook_Inlet,Cook_Inlet_75000200000416
127,75000200005413,127,1804.000000000000000,180400.000000000000000,105,126,21,110.696784922394684,4.792313074898547,199697.000000000000000,22,107,126,109,118,Cook_Inlet,Cook_Inlet_75000200005413
128,75000200002930,128,1649.000000000000000,164900.000000000000000,107,119,12,109.498483929654270,1.942197808817942,180563.000000000000000,13,109,119,109,111,Cook_Inlet,Cook_Inlet_75000200002930
129,75000200010359,129,4932.000000000000000,493200.000000000000000,117,157,40,130.157948094079217,11.048774473355925,641939.000000000000000,41,121,157,125,148,Cook_Inlet,Cook_Inlet_75000200010359
130,75000200010144,130,65744.000000000000000,6574400.000000000000000,118,230,112,169.266062302261901,31.804890779335668,11128228.000000000000000,113,129,230,176,208,Cook_Inlet,Cook_Inlet_75000200010144
131,75000200018266,131,15012.000000000000000,1501200.000000000000000,115,130,15,120.882227551292189,2.785805087592608,1814684.000000000000000,16,122,115,121,125,Cook_Inlet,Cook_Inlet_75000200018266
132,75000200002753,132,12373.000000000000000,1237300.000000000000000,217,282,65,249.960478461165309,19.729348836835342,3092761.000000000000000,66,274,282,247,276,Cook_Inlet,Cook_Inlet_75000200002753
133,75000200015505,133,7098.000000000000000,709800.000000000000000,258,322,64,290.212313327697757,17.832068790464692,2059927.000000000000000,65,305,258,297,309,Cook_Inlet,Cook_Inlet_75000200015505
134,75000200015584,134,19448.000000000000000,1944800.000000000000000,208,255,47,228.911353352531165,9.044155512232489,4451868.000000000000000,48,227,255,227,242,Cook_Inlet,Cook_Inlet_75000200015584
135,75000200002806,135,10931.000000000000000,1093100.000000000000000,208,263,55,246.346720336656972,8.412431228230476,2692816.000000000000000,56,246,208,247,256,Cook_Inlet,Cook_Inlet_75000200002806
