OID_,non_north_area,north_area,region,wtd_north_per,cat_ID_txt,cat_ID_con
273,24587800.000000000000000,5114700.000000000000000,Bristol_Bay,17.2197628,2066924,Bristol_Bay_2066924
274,215970900.000000000000000,99341100.000000000000000,Bristol_Bay,31.5056515,2066955,Bristol_Bay_2066955
275,54953100.000000000000000,7777100.000000000000000,Bristol_Bay,12.3976965,2067494,Bristol_Bay_2067494
276,3846500.000000000000000,1303400.000000000000000,Bristol_Bay,25.3092289,2068072,Bristol_Bay_2068072
277,81949300.000000000000000,11587600.000000000000000,Bristol_Bay,12.3882656,2068584,Bristol_Bay_2068584
278,9799500.000000000000000,8041800.000000000000000,Bristol_Bay,45.0740700,2070402,Bristol_Bay_2070402
279,130703100.000000000000000,24373000.000000000000000,Bristol_Bay,15.7167997,2071934,Bristol_Bay_2071934
280,15805400.000000000000000,632700.000000000000000,Bristol_Bay,3.8489850,2072993,Bristol_Bay_2072993
281,249725000.000000000000000,81986500.000000000000000,Bristol_Bay,24.7162075,2073464,Bristol_Bay_2073464
282,178602700.000000000000000,42575100.000000000000000,Bristol_Bay,19.2492638,2074424,Bristol_Bay_2074424
283,93428400.000000000000000,16723500.000000000000000,Bristol_Bay,15.1822166,2078232,Bristol_Bay_2078232
284,94905400.000000000000000,17200000.000000000000000,Bristol_Bay,15.3427038,2078282,Bristol_Bay_2078282
285,639283400.000000000000000,204556000.000000000000000,Bristol_Bay,24.2411060,2082373,Bristol_Bay_2082373
286,639890600.000000000000000,204705400.000000000000000,Bristol_Bay,24.2370796,2082393,Bristol_Bay_2082393
287,37480100.000000000000000,15967800.000000000000000,Bristol_Bay,29.8754482,2084713,Bristol_Bay_2084713
288,2056003300.000000000000000,609488500.000000000000000,Bristol_Bay,22.8658924,2085642,Bristol_Bay_2085642
