OID_,cat_ID_txt,FType,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,region,cat_ID,cat_ID_con
660,75000200010216,390,1441671.654484410537407,2.070667427295301,Cook_Inlet,75000200010216,Cook_Inlet_75000200010216
661,75000200010370,390,624469738.533560752868652,1.245403134312200,Cook_Inlet,75000200010370,Cook_Inlet_75000200010370
662,75000200010538,390,2263496.085237032733858,1.259579980119222,Cook_Inlet,75000200010538,Cook_Inlet_75000200010538
663,75000200010768,390,35914986.767895266413689,3.311149371569168,Cook_Inlet,75000200010768,Cook_Inlet_75000200010768
664,75000200011024,390,2988285.740885621402413,3.742409281930748,Cook_Inlet,75000200011024,Cook_Inlet_75000200011024
665,75000200011042,390,659318.095753391040489,0.687847965674339,Cook_Inlet,75000200011042,Cook_Inlet_75000200011042
666,75000200011046,390,3029352.595667007844895,0.331154426749430,Cook_Inlet,75000200011046,Cook_Inlet_75000200011046
667,75000200012043,390,370845.092188559065107,0.192615307302932,Cook_Inlet,75000200012043,Cook_Inlet_75000200012043
668,75000200012956,390,654712076.251737236976624,1.268010729340342,Cook_Inlet,75000200012956,Cook_Inlet_75000200012956
669,75000200012997,390,8175550.249248393811285,0.946357114718832,Cook_Inlet,75000200012997,Cook_Inlet_75000200012997
670,75000200013093,390,4350324.841837698593736,2.813280563912194,Cook_Inlet,75000200013093,Cook_Inlet_75000200013093
671,75000200013250,390,5204654.248915596865118,1.387765784366453,Cook_Inlet,75000200013250,Cook_Inlet_75000200013250
672,75000200013319,390,14456677.180522849783301,3.976385450667154,Cook_Inlet,75000200013319,Cook_Inlet_75000200013319
673,75000200013557,390,1655685.185033284360543,0.399450864225566,Cook_Inlet,75000200013557,Cook_Inlet_75000200013557
674,75000200013892,390,4992262.696612477302551,5.826513034624496,Cook_Inlet,75000200013892,Cook_Inlet_75000200013892
675,75000200013924,390,391538.531304126197938,0.214174542498525,Cook_Inlet,75000200013924,Cook_Inlet_75000200013924
676,75000200013941,390,584814.970817552413791,0.434218537644213,Cook_Inlet,75000200013941,Cook_Inlet_75000200013941
677,75000200014042,390,1044551.643821057048626,0.302541708208834,Cook_Inlet,75000200014042,Cook_Inlet_75000200014042
678,75000200015301,390,1481669.721875375136733,0.673858697455404,Cook_Inlet,75000200015301,Cook_Inlet_75000200015301
679,75000200015326,390,386344.958848263951950,0.356765281534339,Cook_Inlet,75000200015326,Cook_Inlet_75000200015326
680,75000200015464,390,5665034.798196320421994,1.205629050375822,Cook_Inlet,75000200015464,Cook_Inlet_75000200015464
681,75000200015469,390,368129.237235539068934,0.844796200848123,Cook_Inlet,75000200015469,Cook_Inlet_75000200015469
682,75000200015485,390,292626.764863090531435,0.583354419346911,Cook_Inlet,75000200015485,Cook_Inlet_75000200015485
683,75000200015565,390,608733.808438257314265,0.913739988788566,Cook_Inlet,75000200015565,Cook_Inlet_75000200015565
684,75000200015589,390,646022147.529057145118713,1.277514118383742,Cook_Inlet,75000200015589,Cook_Inlet_75000200015589
685,75000200015657,390,474531.913540920242667,0.925943030119755,Cook_Inlet,75000200015657,Cook_Inlet_75000200015657
686,75000200015695,390,284915.435879591153935,0.651421773861227,Cook_Inlet,75000200015695,Cook_Inlet_75000200015695
687,75000200015895,390,34635047.827455930411816,1.934164899682334,Cook_Inlet,75000200015895,Cook_Inlet_75000200015895
688,75000200016431,390,1386588.456599027616903,0.320137359716229,Cook_Inlet,75000200016431,Cook_Inlet_75000200016431
